,Athlete Name,Athlete Province,Athlete or Coach,Athlete Sport,Athlete Age,Athlete Height,Athlete Weight,Athletes Clubs or Teams,Athletes Coaches Name,Athletes Team Position,Athletes Previous Games,Athletes Previous Games,Athletes Goals,Athletes Personal Best,Athletes Awards,Athletes Role Model,Athletes Media or Social Media Information,Events Participated In,Athletes Number of Gold Medals,Athletes Number of Silver Medals,Athletes Number of Bronze Medals,Athletes Placements
1129,Annie King,Saskatchewan,Athlete,Hockey,17,157.5,59,Notre Dame Hounds,Craig Perrett,defence,@annieking__,@annieking__,,Gold ulu at Arctic Winter Games in 2016 for Team NWT.,"SFMAAAHL - Rookie of the Year 2017/2018
Most Improved Player - Notre Dame Prep 2016/2017
Participated in ""Hit the Ice"" reality show to be aired February 2019 on APTN.",,My 6 brothers all play hockey and I grew up in the rink so I started skating when I was 2.5 years old.,,0,0,0,0
1130,Emma King,Manitoba,Athlete,Figure Skating,16,172,,Skate Winnipeg,Tammy McKay,,,,"To have a personal best skate and new P/B score
To have a lot of fun!",,"I have represented Manitoba at the last 5 Skate Canada Challenge events
I have been a Manitoba Bursary recipitant for 5 years
I have a been on the Manitoba high performance team for 4 years and now on the Elite team",,I started skating at age 5,,0,0,0,0
1131,Lauren King,Manitoba,Athlete,Alpine Skiing,14,170,57,Summit Ski Club,Bob Lawrie,,,,To preform to the best of my abilities and get the experience of high level competition.,,,Jacob King (Kinger),"Skied with Summit Ski Team for 7 years. Attended MB Winter Games in 2018, won silver and bronze.",,0,0,0,0
1132,Willow Rachel King,Newfoundland and Labrador,Athlete,Gymnastics,13,,,,,,,,,,,,,,0,0,0,0
1133,Rowen Kingston,Yukon,Athlete,Judo,17,181,84,Shiroumaki Judo,Aaron Jensen,,,,I would like to experience high level competition with a varied range of fighters.,Every competition that I have an opportunity to learn from is valuable.,"Most improved Judoka, Best Ippon, various medals won at tournaments.",Sergio Pessoa jr. Canadian Olympian.,self defense,,0,0,0,0
1134,Alex Kirbyson,Manitoba,Athlete,Squash,18,173,74,Winnipeg Winter Club,Trevor Borland,1,,,To play my best during the individual event and to place top-5 in the team event.,I participated in the 2015 Canada Winter Games in Prince George playing Squash for Team Manitoba and placed 6th in the team event.,,Roger Federer for his class on court and his ability to prove that age is just a number.,I did a tri-racquet camp at the winter club when I was about 9 and really enjoyed the squash portion and kept playing ever since then.,,0,0,0,0
1135,Ecko Deelia Kirk,Yukon,Athlete,Hockey,15,,,,,,,,,,,,,,0,0,0,0
1136,Raygan Kirk,Manitoba,Athlete,Hockey,17,173,66,AAA Eastman Selects,Bill Bram,Goalie,Raygan_Kirk01,Raygan_Kirk01,To have fun while playing high intensity hockey with new people.,Going 8-1 during playoffs with my club team,"Team MVP - 2018 Eastman Selects
Most dedicated player 2017
Most dedicated player 2016
Honour roll grades 9-11",Shannon Szabados,I moved to Ste.Anne with my family in 2007 from Winnipeg and hockey is a big part of the community and something a lot of kids my age were playing.,,0,0,0,0
1137,Quinn Kirkland,Prince Edward Island,Athlete,Ringette,18,152.4,63.5,,Tara O'Brien,Centre,,,Win 3 games!,Play well defensively and offensively & make good passes.,,Sarah McIsaac,I have cousins who played and an uncle who refereed. They got me into ringette. My mom kept me in it ;-),,0,0,0,0
1138,Cadence Kiss,Ontario,Athlete,Alpine Skiing,16,165,55,Alpine Ski Club,Rob Crossan,Head Coach,,,To ski my best and represent Ontario proudly. Place in the top 10,2nd overall at 2017 provincials. 3rd at Canams GS 2017. Two top tens at Whistler Cup 2017.,Karbon Bursury,Mikaela Shiffrin,I started racing when I was 7 years old.,,0,0,0,0
1139,Taschi Klaschka,Manitoba,Athlete,Cross Country Skiing,17,178,64,Vernon Snowsports Academy,Megan Carter,,,,Top 10 finish.,4th place at 2017 Nationals in sprint qualifier.,,My Grandpa,Grandpa had me on skis before I could walk.,,0,0,0,0
1140,Gabe Klassen,Saskatchewan,Athlete,Hockey,15,175,70,Prince Albert Mintos,Ken Morrison,Centre,,,,,,,,,0,0,0,0
1141,Isaiah Klassen,Manitoba,Athlete,Gymnastics,17,185,68,Flippers Gymnastics,Amanda Pierson,T&T coach,,,"Have fun, complete all routines, do my personal best, compete high DD",94,"Provincial T&T award, 1st place L5 16U DMT at Canadian Championships, 1st place L5 16U DMT at Canada Cup","Denis Vachon, Jon Schwaiger, my coach Amanda Pirrson",Transitioned from men’s artistic gymnastics,,0,1,0,1
1142,Kate Klassen,British Columbia,Athlete,Hockey,17,170,131,,Jeff eaton and dayna birch,Center,Kate_klassen,Kate_klassen,To win gold!,,"Top athlete, aggregate, general proficiency",Sidney Crosby,My sister and dad,,0,0,1,1
1143,Arden Kliewer,Saskatchewan,Athlete,Hockey,17,173,75,Saskatoon MIdget AAA Stars,Greg Slobdzian,Goalie,ardenkliewer30,ardenkliewer30,Win a medal.,National Female Midget Championship Record Book - Lowest Goals Against Average (0.33) 2018.,"Top Midget A Goalie (2016)
SFMAAAHL 1st Star January 2017",Shannon Szabados,Parents,,0,0,0,0
1144,Carl Knickle,Yukon,Athlete,Badminton,19,,,St. FX,Robert Procter,,,,,,,,,,0,0,0,0
1145,Liza Knill,Ontario,Athlete,Ringette,19,163,,,,Defense,lizaknill,lizaknill,My goals are to take home gold for Ontario and to support as many Team Ontario athletes as possible.,Going undefeated and winning gold at the 2018 Ontario ringette provincial championships.,,"My sister is the most fearless person I know. She is constantly inspiring me to go outside my comfort zone and try new things. Her support and encouragement are endless and for these reasons, she is my personal role model.",,,0,1,0,1
1146,Mayah Knott,Newfoundland and Labrador,Athlete,Artistic Swimming,15,,,,,,,,,,,,,,0,0,0,0
1147,Jade Ko,Northwest Territories,Athlete,Gymnastics,14,167cm,60,,,,,,To gain experience and learn from others and have a good time!,9.5 on floor,I'm on the honor roll at school,Simone Biles,I started when I was 5 years old. I really love tumbling! I believe gymnastics has helped my self confidence and has made me stronger in life.,,0,0,0,0
1148,Lukas Sebastian Kobler,Yukon,Athlete,Badminton,19,,,,,,,,To play as well as the greatest player of all time; Cameron Karas.,,,Toby Ng,,,0,0,0,0
1149,Ella Kokelj,Northwest Territories,Athlete,Cross Country Skiing,16,,,,,,,,,,,,,,0,0,0,0
1150,Sylvia Kolodziejczyk,Ontario,Athlete,Speed Skating,15,163,55,Barrie Speed Skating Club,Paula McConvey,,,,My goals for the games is to place for the relays and as for the individual distances I would like to have fun and do my best!,"1500m- 2.32.80
1000m- 1.37.44
500m- 47.13","Méritas des Arts Visuels 8e année
Méritas des Sciences 8e année
Méritas des Sciences 9e année",My personal role model is Nathalia Maliszewska. She is a Polish short track speed skater. Nathalia was the first women from Poland to win a medal at the ISU World Short Track Championships in 2018 and continues to preform exceptionally well in the 500m. She inspires me because she is an amazing sprinter and I who hope to improve in my sprints look up to her greatly for her perseverence in reaching her goals.,"When I used to figure skate I really liked to race my friends when we had free time, so my parents took me to a local speed skating club (Barrie) for ""try before sign up program"". I really enjoyed it and they signed me up for the whole year.",,0,0,0,0
1151,Rachel Dawn Kormendy,Yukon,Athlete,Hockey,14,160,63.5,Yukon Female Hockey,Candice MacEachen,Forward,,,Play hard and have fun.,,Player of the game at Wickfest 2018,,Family is hockey oriented. Love the game.,,0,0,0,0
1152,Douglas Kosciukiewicz,Nova Scotia,Athlete,Squash,18,180,75,,Neil Harvey,,,,,,,,,,0,0,1,1
1153,Jack Kotaska,Northwest Territories,Athlete,Cross Country Skiing,16,180,73,NWT Ski Team,Stephen Dunbar,Athlete,@realDonaldTrump,@realDonaldTrump,Try my best,,,"Steve-0, Sassy, David Attenborough, Ian McAlister, Papa",,,0,0,0,0
1154,Ashton Kotlar,Saskatchewan,Athlete,Gymnastics,17,,,Taiso Gymnastics Club,Markos Baikas,Men’s Gymnastics,,,,,,,,,0,0,0,0
1155,Holland Heather Kozan,Saskatchewan,Athlete,Ringette,16,175,65,U19AA Regina Bandits,Paul Kozan,Goalie,,,"My goals are to play the sport I love to the best of my abilities, making family and province proud! I also want to bring home a medal with my team!",,,,,,0,0,0,0
1156,Jorja Koziuk,Manitoba,Athlete,Artistic Swimming,14,160cm,47kg,Winnipeg synchro,Sarah Benson,,,,Make all the highlights work. Come in top 5.,Getting an 8 on my thrust.,,Jacqueline Simoneau,My mother was a synchronized swimmer back when she was my age. I wanted to try it.,,0,0,0,0
1157,Kamilla Kozuback,Alberta,Athlete,Snowboard,14,156,44,Winsport,Robert Hartley-Robinson,,,,To perform my best run and podium,as above,"2017-2018: Alberta Snowboarding Association female Rider of the Year Award
2016-2017: Alberta Snowboarding Association ""most improved Rider of the year Award""","Mark McMorris
Seb Toutant
Anna Gasser & Chloe Kim",My Mum snowboards. After 6 years of skiing I switched to snowboarding at the age of 9.,,1,0,1,2
1158,Mikayla Kramer,Yukon,Athlete,Figure Skating,16,152 cm,48kg,Arctic Edge Skating Club,Jason and Karen Mongrain,,,,My goals for the games are to have fun and to meet new people.,105.19 (BC/YK Sectionals 2019),2016 Yukon Female Athlete of the Year,My personal role model is Kaetlyn Osmond because she has a lot power and strength when she skates.,I got involved in Figure Skating because my mom enrolled me in CanSkate when I was three years old.,,0,0,0,0
1159,Rachel Krapman,Ontario,Athlete,Judo,17,5'4,60,Upper Canada,Dave Burt,,,,Winning,Gold,"2017, 2018 U18 Athlete of the year
2017 Most Outstanding Athlete",My Mom,My mom registered me when I was 4 years old and I fell in love with the sport,,0,0,1,1
1160,Lily Kremer,Yukon,Athlete,Badminton,14,172,62,,,,,,,,,,,,0,0,0,0
1161,Shayla Kremer,Yukon,Athlete,Badminton,12,,,,,,,,,,,,,,0,0,0,0
1162,Tristan Kremer,Yukon,Athlete,Badminton,13,,,,,,,,,,,,,,0,0,0,0
1163,Bryce Kristjansson,Manitoba,Athlete,Squash,17,175,68,,,,,,To do the best I can for my team and meet other athletes in the games.,Have yet to place at a tournament.,,,My dad plays the sport.,,0,0,0,0
1164,Kiara Kroetsch,Saskatchewan,Athlete,Artistic Swimming,13,157,43,Saskatoon Aqualenes,Laurie Wachs & Elise Marcotte,,,,"To enjoy the experience, be in the moment, and swim to the best of my ability.",Gold,Most Dedicated Provincial Stream Athlete - 2016 & 2017,,"I started doing artistic swimming at age 7 because I loved to swim, dance, and do cheerleading and it combined the best of all worlds.",,0,0,0,0
1165,Adora Kruger,Alberta,Athlete,Artistic Swimming,18,170,60,Calgary Aquabelles,Jenn Tregale,,,,"My goals for the games is enjoy the games to the fullest extent, and swim as a united team. When we swim I would like to us leave the impression that we have been swimming as this team for years, even though in reality we have only been swimming as this team for the past couple of months. Although podium would be nice, I would like us to have our best swim during the competition.","I have had the most amazing experiences which have allowed me to come first in many Provincial competitions in team, duet and combo. My overall personal best was in 2017 when my team and I came first in both team and combo, and my duet came seventh out of the whole country.",,"My personal role model would be my Aunt Audri. Audri is the most caring genuine individual I have ever met in my life. She would always help those around her without asking for anything in return even if it consumed lots of her time and energy, as well as encourage everyone to follow dreams and not listen to the negative perspectives others have on your decisions. Having a role model like her in my life has allowed me to follow my dreams and passions in life. It was because of her I am still doing what I am passionate about and following my long dream of representing Team Alberta, swimming in the Canadian Winter Games.","I became involved in the sport because my mom was a synchronized swimmer growing up. She had the most amazing experiences swimming, it allowed her to make friends for life and gave her amazing opportunities to travel the world and gave her special tools to succeed later in life. She encouraged me to swim, so I could have the same friendships and experiences as she did swimming.",,1,0,0,1
1166,Mykola Kruk,Manitoba,Athlete,Alpine Skiing,16,,,Winnipeg Alpine Racers,,Alpine Racer,,,The enjoy myself and to meet new poeple that also have a great passion this great sport.,,,,My parents are teachers and one of their colleges that they tought with was a member of the ski team and my parents thought it was a cool sport. Ever since i was either a racer or a coach.,,0,0,0,0
1167,Hannah Kryworuchko,British Columbia,Athlete,Artistic Swimming,16,,,Pacific Wave Synchro,Meng Chen / Kara Kalin,,,,,,,,"I signed up for Synchronized swimming when I was 9 yrs old, and loved it ever since!",,0,0,0,0
1168,Xzavier Kubluitok,Nunavut,Athlete,Hockey,15,175,84,,,,,,,,,,,,0,0,0,0
1169,Davidee Kudluarok,Nunavut,Athlete,Badminton,15,,,,,,,,,,,,,,0,0,0,0
1170,Ryan Kulbacki,Manitoba,Athlete,Speed Skating,14,"6'1""",135,river heights st. James speed skating club,Tyler williamson derraugh,skater,,,to gain experience and place as high as i can hopefully winning a medal or two,"2nd place in mens relay at Saskatchewan winter games
most improved male skater in Saskatoon lions speed skating club",most improved male skater in Saskatoon lions speed skating club,Cindy klassen,i was taking skating lessons when in was young and i saw the older speed skaters skating so i decided i wanted to try it and have done it ever since,,0,0,0,0
1171,Monika Kunderlik,Northwest Territories,Athlete,Table Tennis,13,162,49,Table Tennis NWT; Ecole William McDonald,Thorsten Gohl,Player,,,"Do my best, be a good teammate and get as far as I can.",,,My coach.,I like to play racquet sports.,,0,0,0,0
1172,Caleigh Takara Kuramoto,British Columbia,Athlete,Judo,16,165,57,Steveston Judo Club,Jeremy Le Bris,,,,,,,,"The sport of judo was a family tradition
https://www.btvancouver.ca/videos/three-generations-of-judo-in-steveston/",,0,2,0,2
1173,Brayden Kuroda,British Columbia,Athlete,Freestyle Skiing,18,169,64,BC Mogul Team,Josh Kober,,,,Have fun,12th Killington NorAm,Overall BC Mogul Champion,Nelk boys,My dad,,2,0,0,2
